"male","age","land","agef","landf","fid"
1,47,5,85,70,331
0,20,NA,68,160,292
1,63,7,90,160,762
0,33,12,66,25,198
0,37,10,77,30,332
1,34,5,78,20,473
1,33,13,68,160,292
0,37,8,90,160,762
0,45,4,78,20,473
1,31,5,NA,NA,NA
1,37,4,77,30,332
1,38,7,NA,NA,NA
0,57,19,NA,NA,NA
1,37,3,71,30,267
1,40,5,87,45,112
0,36,4,87,45,112
1,35,3,71,30,267
1,53,40,NA,NA,NA
1,50,17,84,300,144
0,30,4,73,120,212
0,39,18,73,15,921
0,23,NA,78,20,473
1,36,8,66,25,198
1,45,7,80,55,424
1,48,2,79,45,444
1,78,70,NA,NA,NA
1,48,40,NA,NA,NA
0,36,4,85,70,331
1,39,15,NA,NA,NA
0,34,4,87,45,112
0,39,NA,77,30,332
1,33,11,75,50,151
1,46,3,73,15,921
1,53,4,77,30,332
1,79,45,NA,NA,NA
0,69,16,NA,NA,NA
